20190105T053219_20190105T053603_T43RFM_ndvi,20190105T053219_20190105T053603_T43RFN_ndvi,20190105T053219_20190105T053603_T43RGM_ndvi,20190105T053219_20190105T053603_T43RGN_ndvi,20190110T053211_20190110T053252_T43RGM_ndvi,20190120T053131_20190120T053630_T43RFM_ndvi,20190125T053109_20190125T053305_T43RFM_ndvi,20190125T053109_20190125T053305_T43RFN_ndvi,20190125T053109_20190125T053305_T43RGM_ndvi,20190125T053109_20190125T053305_T43RGN_ndvi,20190204T053029_20190204T053148_T43RFM_ndvi,20190209T052951_20190209T053532_T43RFM_ndvi,20190209T052951_20190209T053532_T43RFN_ndvi,20190209T052951_20190209T053532_T43RGM_ndvi,20190209T052951_20190209T053532_T43RGN_ndvi,20190219T052851_20190219T053948_T43RFM_ndvi,20190224T052819_20190224T053649_T43RFM_ndvi,20190224T052819_20190224T053649_T43RFN_ndvi,20190224T052819_20190224T053649_T43RGM_ndvi,20190224T052819_20190224T053649_T43RGN_ndvi,20190301T052741_20190301T053122_T43RFM_ndvi,20190301T052741_20190301T053122_T43RFN_ndvi,20190301T052741_20190301T053122_T43RGM_ndvi,20190301T052741_20190301T053122_T43RGN_ndvi,20190306T052709_20190306T053522_T43RFM_ndvi,20190306T052709_20190306T053522_T43RFN_ndvi,20190306T052709_20190306T053522_T43RGM_ndvi,20190306T052709_20190306T053522_T43RGN_ndvi,20190311T052641_20190311T053430_T43RFM_ndvi,20190311T052641_20190311T053430_T43RGM_ndvi,20190311T052641_20190311T053430_T43RGN_ndvi,20190316T052649_20190316T053602_T43RFM_ndvi,20190316T052649_20190316T053602_T43RGM_ndvi,20190321T052641_20190321T053954_T43RFM_ndvi,20190321T052641_20190321T053954_T43RFN_ndvi,20190321T052641_20190321T053954_T43RGM_ndvi,20190321T052641_20190321T053954_T43RGN_ndvi,20190326T052649_20190326T053240_T43RFM_ndvi,20190326T052649_20190326T053240_T43RFN_ndvi,20190326T052649_20190326T053240_T43RGM_ndvi,20190326T052649_20190326T053240_T43RGN_ndvi,20190331T052651_20190331T054003_T43RFM_ndvi,20190331T052651_20190331T054003_T43RFN_ndvi,20190331T052651_20190331T054003_T43RGM_ndvi,20190331T052651_20190331T054003_T43RGN_ndvi,20190405T052649_20190405T053116_T43RFM_ndvi,20190405T052649_20190405T053116_T43RFN_ndvi,20190405T052649_20190405T053116_T43RGM_ndvi,20190405T052649_20190405T053116_T43RGN_ndvi,20190410T052651_20190410T053132_T43RFM_ndvi,20190410T052651_20190410T053132_T43RFN_ndvi,20190410T052651_20190410T053132_T43RGM_ndvi,20190410T052651_20190410T053132_T43RGN_ndvi,20190415T052649_20190415T053628_T43RFN_ndvi,20190415T052649_20190415T053628_T43RGM_ndvi,20190415T052649_20190415T053628_T43RGN_ndvi,20190420T052651_20190420T053525_T43RFM_ndvi,20190420T052651_20190420T053525_T43RFN_ndvi,20190420T052651_20190420T053525_T43RGM_ndvi,20190420T052651_20190420T053525_T43RGN_ndvi,20190425T052649_20190425T053709_T43RFM_ndvi,20190425T052649_20190425T053709_T43RGM_ndvi,20190425T052649_20190425T053709_T43RGN_ndvi,20190430T052651_20190430T052819_T43RFM_ndvi,20190430T052651_20190430T052819_T43RFN_ndvi,20190430T052651_20190430T052819_T43RGM_ndvi,20190430T052651_20190430T052819_T43RGN_ndvi,20190505T052659_20190505T053758_T43RFM_ndvi,20190505T052659_20190505T053758_T43RFN_ndvi,20190505T052659_20190505T053758_T43RGM_ndvi,20190505T052659_20190505T053758_T43RGN_ndvi,20190510T052651_20190510T053439_T43RFM_ndvi,20190510T052651_20190510T053439_T43RFN_ndvi,20190510T052651_20190510T053439_T43RGM_ndvi,20190510T052651_20190510T053439_T43RGN_ndvi,20190520T052651_20190520T052743_T43RGM_ndvi,20190520T052651_20190520T052743_T43RGN_ndvi,20190525T052659_20190525T053718_T43RFM_ndvi,20190525T052659_20190525T053718_T43RFN_ndvi,20190525T052659_20190525T053718_T43RGM_ndvi,20190525T052659_20190525T053718_T43RGN_ndvi,20190530T052651_20190530T053614_T43RFM_ndvi,20190530T052651_20190530T053614_T43RFN_ndvi,20190530T052651_20190530T053614_T43RGM_ndvi,20190530T052651_20190530T053614_T43RGN_ndvi,20190604T052659_20190604T053306_T43RFM_ndvi,20190604T052659_20190604T053306_T43RFN_ndvi,20190604T052659_20190604T053306_T43RGM_ndvi,20190604T052659_20190604T053306_T43RGN_ndvi,20190609T052651_20190609T053350_T43RFM_ndvi,20190609T052651_20190609T053350_T43RFN_ndvi,20190609T052651_20190609T053350_T43RGM_ndvi,20190609T052651_20190609T053350_T43RGN_ndvi,20190614T052659_20190614T053710_T43RFM_ndvi,20190614T052659_20190614T053710_T43RFN_ndvi,20190614T052659_20190614T053710_T43RGM_ndvi,20190614T052659_20190614T053710_T43RGN_ndvi,20190619T052651_20190619T053927_T43RFM_ndvi,20190619T052651_20190619T053927_T43RFN_ndvi,20190619T052651_20190619T053927_T43RGM_ndvi,20190619T052651_20190619T053927_T43RGN_ndvi,20190629T052651_20190629T052824_T43RFM_ndvi,20190629T052651_20190629T052824_T43RFN_ndvi,20190629T052651_20190629T052824_T43RGM_ndvi,20190629T052651_20190629T052824_T43RGN_ndvi,20190714T052659_20190714T053714_T43RFM_ndvi,20190714T052659_20190714T053714_T43RGM_ndvi,20190719T052651_20190719T052651_T43RFM_ndvi,20190719T052651_20190719T052651_T43RFN_ndvi,20190719T052651_20190719T052651_T43RGM_ndvi,20190729T052651_20190729T052842_T43RGN_ndvi,20190808T052651_20190808T053352_T43RGM_ndvi,20190813T052649_20190813T053452_T43RFN_ndvi,20190823T052649_20190823T053454_T43RFM_ndvi,20190823T052649_20190823T053454_T43RFN_ndvi,20190823T052649_20190823T053454_T43RGM_ndvi,20190823T052649_20190823T053454_T43RGN_ndvi,20190828T052651_20190828T054022_T43RFM_ndvi,20190828T052651_20190828T054022_T43RFN_ndvi,20190828T052651_20190828T054022_T43RGM_ndvi,20190828T052651_20190828T054022_T43RGN_ndvi,20190902T052649_20190902T053329_T43RFN_ndvi,20190902T052649_20190902T053329_T43RGM_ndvi,20190902T052649_20190902T053329_T43RGN_ndvi,20190912T052649_20190912T053131_T43RFM_ndvi,20190917T052651_20190917T053926_T43RFM_ndvi,20190917T052651_20190917T053926_T43RFN_ndvi,20191002T052649_20191002T053801_T43RFM_ndvi,20191002T052649_20191002T053801_T43RFN_ndvi,20191002T052649_20191002T053801_T43RGM_ndvi,20191002T052649_20191002T053801_T43RGN_ndvi,20191012T052739_20191012T053314_T43RFM_ndvi,20191012T052739_20191012T053314_T43RFN_ndvi,20191012T052739_20191012T053314_T43RGM_ndvi,20191012T052739_20191012T053314_T43RGN_ndvi,20191017T052821_20191017T053726_T43RFM_ndvi,20191017T052821_20191017T053726_T43RFN_ndvi,20191017T052821_20191017T053726_T43RGM_ndvi,20191017T052821_20191017T053726_T43RGN_ndvi,20191022T052849_20191022T053557_T43RFN_ndvi,20191022T052849_20191022T053557_T43RGN_ndvi,20191027T052921_20191027T053340_T43RFM_ndvi,20191027T052921_20191027T053340_T43RFN_ndvi,20191027T052921_20191027T053340_T43RGM_ndvi,20191027T052921_20191027T053340_T43RGN_ndvi,20191101T052949_20191101T052948_T43RGM_ndvi,20191101T052949_20191101T052948_T43RGN_ndvi,20191106T053021_20191106T053455_T43RFM_ndvi,20191106T053021_20191106T053455_T43RFN_ndvi,20191106T053021_20191106T053455_T43RGN_ndvi,20191111T053039_20191111T053120_T43RFM_ndvi,20191111T053039_20191111T053120_T43RGM_ndvi,20191116T053111_20191116T053812_T43RFM_ndvi,20191116T053111_20191116T053812_T43RFN_ndvi,20191116T053111_20191116T053812_T43RGM_ndvi,20191116T053111_20191116T053812_T43RGN_ndvi,20191121T053129_20191121T053334_T43RFN_ndvi,20191201T053159_20191201T053635_T43RFM_ndvi,20191201T053159_20191201T053635_T43RFN_ndvi,20191201T053159_20191201T053635_T43RGM_ndvi,20191201T053159_20191201T053635_T43RGN_ndvi,20191206T053211_20191206T053823_T43RGM_ndvi,20191211T053219_20191211T053623_T43RFN_ndvi,20191211T053219_20191211T053623_T43RGN_ndvi,20191231T053229_20191231T053726_T43RGM_ndvi,20191231T053229_20191231T053726_T43RGN_ndvi,dtname,State_LGD,Dist_LGD,system:index,stname
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Bhoi,17.0,276.0,00000000000000000000,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Khasi Hills,17.0,279.0,00000000000000000001,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Jaintia Hills,17.0,657.0,00000000000000000002,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Khasi Hills,17.0,274.0,00000000000000000003,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Garo Hills,17.0,277.0,00000000000000000004,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Garo Hills,17.0,278.0,00000000000000000005,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Garo Hills,17.0,273.0,00000000000000000006,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Jaintia Hills,17.0,275.0,00000000000000000007,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South West Khasi Hills,17.0,658.0,00000000000000000008,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Garo Hills,17.0,656.0,00000000000000000009,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South West Garo Hills,17.0,663.0,0000000000000000000a,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srikakulam,28.0,519.0,0000000000000000000b,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vizianagaram,28.0,521.0,0000000000000000000c,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visakhapatnam,28.0,520.0,0000000000000000000d,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krishna,28.0,510.0,0000000000000000000e,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guntur,28.0,506.0,0000000000000000000f,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Godavari,28.0,505.0,00000000000000000010,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prakasam,28.0,517.0,00000000000000000011,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurnool,28.0,511.0,00000000000000000012,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anantapur,28.0,502.0,00000000000000000013,ANDHRA PRADESH
