20220129T053049_20220129T053901_T43RFM_ndvi,20220129T053049_20220129T053901_T43RFN_ndvi,20220129T053049_20220129T053901_T43RGM_ndvi,20220129T053049_20220129T053901_T43RGN_ndvi,20220208T052959_20220208T053055_T43RFM_ndvi,20220208T052959_20220208T053055_T43RFN_ndvi,20220208T052959_20220208T053055_T43RGM_ndvi,20220208T052959_20220208T053055_T43RGN_ndvi,20220213T052931_20220213T052930_T43RFM_ndvi,20220213T052931_20220213T052930_T43RFN_ndvi,20220213T052931_20220213T052930_T43RGM_ndvi,20220213T052931_20220213T052930_T43RGN_ndvi,20220218T052849_20220218T053644_T43RFM_ndvi,20220218T052849_20220218T053644_T43RFN_ndvi,20220218T052849_20220218T053644_T43RGM_ndvi,20220218T052849_20220218T053644_T43RGN_ndvi,20220228T052749_20220228T054031_T43RFM_ndvi,20220228T052749_20220228T054031_T43RFN_ndvi,20220228T052749_20220228T054031_T43RGM_ndvi,20220228T052749_20220228T054031_T43RGN_ndvi,20220305T052721_20220305T054013_T43RFM_ndvi,20220305T052721_20220305T054013_T43RFN_ndvi,20220305T052721_20220305T054013_T43RGM_ndvi,20220305T052721_20220305T054013_T43RGN_ndvi,20220310T052649_20220310T053819_T43RFM_ndvi,20220310T052649_20220310T053819_T43RFN_ndvi,20220315T052651_20220315T053616_T43RFM_ndvi,20220315T052651_20220315T053616_T43RFN_ndvi,20220315T052651_20220315T053616_T43RGM_ndvi,20220315T052651_20220315T053616_T43RGN_ndvi,20220320T052649_20220320T053950_T43RFM_ndvi,20220320T052649_20220320T053950_T43RFN_ndvi,20220320T052649_20220320T053950_T43RGM_ndvi,20220320T052649_20220320T053950_T43RGN_ndvi,20220325T052651_20220325T053632_T43RFM_ndvi,20220325T052651_20220325T053632_T43RFN_ndvi,20220325T052651_20220325T053632_T43RGM_ndvi,20220325T052651_20220325T053632_T43RGN_ndvi,20220330T052639_20220330T053927_T43RFM_ndvi,20220330T052639_20220330T053927_T43RFN_ndvi,20220330T052639_20220330T053927_T43RGM_ndvi,20220330T052639_20220330T053927_T43RGN_ndvi,20220404T052651_20220404T053845_T43RFM_ndvi,20220404T052651_20220404T053845_T43RFN_ndvi,20220404T052651_20220404T053845_T43RGM_ndvi,20220404T052651_20220404T053845_T43RGN_ndvi,20220409T052639_20220409T054032_T43RFM_ndvi,20220409T052639_20220409T054032_T43RFN_ndvi,20220409T052639_20220409T054032_T43RGM_ndvi,20220414T052651_20220414T053847_T43RFM_ndvi,20220414T052651_20220414T053847_T43RFN_ndvi,20220414T052651_20220414T053847_T43RGM_ndvi,20220414T052651_20220414T053847_T43RGN_ndvi,20220419T052639_20220419T053615_T43RFM_ndvi,20220419T052639_20220419T053615_T43RFN_ndvi,20220419T052639_20220419T053615_T43RGM_ndvi,20220419T052639_20220419T053615_T43RGN_ndvi,20220424T052651_20220424T053328_T43RFM_ndvi,20220424T052651_20220424T053328_T43RFN_ndvi,20220424T052651_20220424T053328_T43RGM_ndvi,20220424T052651_20220424T053328_T43RGN_ndvi,dtname,State_LGD,Dist_LGD,system:index,stname
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ri Bhoi,17.0,276.0,00000000000000000000,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Khasi Hills,17.0,279.0,00000000000000000001,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Jaintia Hills,17.0,657.0,00000000000000000002,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Khasi Hills,17.0,274.0,00000000000000000003,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Garo Hills,17.0,277.0,00000000000000000004,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Garo Hills,17.0,278.0,00000000000000000005,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Garo Hills,17.0,273.0,00000000000000000006,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Jaintia Hills,17.0,275.0,00000000000000000007,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South West Khasi Hills,17.0,658.0,00000000000000000008,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Garo Hills,17.0,656.0,00000000000000000009,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South West Garo Hills,17.0,663.0,0000000000000000000a,MEGHALAYA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Srikakulam,28.0,519.0,0000000000000000000b,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vizianagaram,28.0,521.0,0000000000000000000c,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Visakhapatnam,28.0,520.0,0000000000000000000d,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Krishna,28.0,510.0,0000000000000000000e,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Guntur,28.0,506.0,0000000000000000000f,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Godavari,28.0,505.0,00000000000000000010,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prakasam,28.0,517.0,00000000000000000011,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kurnool,28.0,511.0,00000000000000000012,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anantapur,28.0,502.0,00000000000000000013,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPSR Nellore,28.0,515.0,00000000000000000014,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,West Godavari,28.0,523.0,00000000000000000015,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y.S.R.,28.0,504.0,00000000000000000016,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chittoor,28.0,503.0,00000000000000000017,ANDHRA PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North  & Middle Andaman,35.0,632.0,00000000000000000018,ANDAMAN & NICOBAR ISLANDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South Andaman,35.0,602.0,00000000000000000019,ANDAMAN & NICOBAR ISLANDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicobars,35.0,603.0,0000000000000000001a,ANDAMAN & NICOBAR ISLANDS
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upper Subansiri,12.0,241.0,0000000000000000001b,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anjaw,12.0,628.0,0000000000000000001c,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Changlang,12.0,229.0,0000000000000000001d,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tawang,12.0,238.0,0000000000000000001e,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Papum Pare,12.0,237.0,0000000000000000001f,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tirap,12.0,239.0,00000000000000000020,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Siang,12.0,232.0,00000000000000000021,ARUNACHAL PRADESH
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lohit,12.0,234.0,00000000000000000022,ARUNACHAL PRADESH
