country_region_code,country_region,sub_region_1,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IN,India,Delhi,2020-02-15,1.0,2.0,8.0,6.0,4.0,0.0
IN,India,Delhi,2020-02-16,2.0,3.0,9.0,6.0,2.0,0.0
IN,India,Delhi,2020-02-17,0.0,2.0,12.0,2.0,1.0,0.0
IN,India,Delhi,2020-02-18,0.0,3.0,13.0,3.0,3.0,0.0
IN,India,Delhi,2020-02-19,-1.0,3.0,10.0,2.0,3.0,0.0
IN,India,Delhi,2020-02-20,0.0,2.0,8.0,4.0,4.0,0.0
IN,India,Delhi,2020-02-21,-7.0,-5.0,1.0,-8.0,-14.0,6.0
IN,India,Delhi,2020-02-22,0.0,-2.0,7.0,0.0,1.0,1.0
IN,India,Delhi,2020-02-23,0.0,1.0,5.0,3.0,4.0,0.0
IN,India,Delhi,2020-02-24,-1.0,-2.0,10.0,2.0,2.0,0.0
IN,India,Delhi,2020-02-25,-5.0,-7.0,6.0,-2.0,-3.0,2.0
IN,India,Delhi,2020-02-26,-8.0,-7.0,0.0,-7.0,-5.0,2.0
IN,India,Delhi,2020-02-27,-5.0,-6.0,2.0,-5.0,-1.0,1.0
IN,India,Delhi,2020-02-28,-4.0,-4.0,4.0,-4.0,0.0,1.0
IN,India,Delhi,2020-02-29,-13.0,-15.0,-12.0,-5.0,5.0,2.0
IN,India,Delhi,2020-03-01,-5.0,0.0,-4.0,-3.0,3.0,2.0
IN,India,Delhi,2020-03-02,-3.0,-1.0,4.0,-5.0,0.0,2.0
IN,India,Delhi,2020-03-03,-2.0,1.0,8.0,-2.0,4.0,0.0
IN,India,Delhi,2020-03-04,-5.0,0.0,1.0,-3.0,3.0,1.0
IN,India,Delhi,2020-03-05,-8.0,-5.0,-5.0,-4.0,3.0,1.0
IN,India,Delhi,2020-03-06,-15.0,-14.0,-18.0,-5.0,0.0,3.0
IN,India,Delhi,2020-03-07,-6.0,0.0,-5.0,1.0,6.0,1.0
IN,India,Delhi,2020-03-08,-6.0,2.0,-8.0,-7.0,7.0,1.0
IN,India,Delhi,2020-03-09,-2.0,4.0,-3.0,-20.0,-18.0,5.0
IN,India,Delhi,2020-03-10,-51.0,-56.0,-34.0,-60.0,-79.0,24.0
IN,India,Delhi,2020-03-11,-15.0,-9.0,-9.0,-15.0,-11.0,2.0
IN,India,Delhi,2020-03-12,-10.0,-7.0,-4.0,-10.0,-2.0,1.0
IN,India,Delhi,2020-03-13,-11.0,-5.0,-2.0,-12.0,-2.0,2.0
IN,India,Delhi,2020-03-14,-20.0,-15.0,-15.0,-17.0,-7.0,4.0
IN,India,Delhi,2020-03-15,-15.0,-6.0,-11.0,-15.0,1.0,3.0
IN,India,Delhi,2020-03-16,-10.0,-4.0,2.0,-13.0,-5.0,2.0
IN,India,Delhi,2020-03-17,-12.0,-2.0,0.0,-17.0,-8.0,3.0
IN,India,Delhi,2020-03-18,-15.0,-1.0,-3.0,-20.0,-10.0,4.0
IN,India,Delhi,2020-03-19,-17.0,0.0,-9.0,-24.0,-12.0,5.0
IN,India,Delhi,2020-03-20,-27.0,-9.0,-16.0,-31.0,-19.0,8.0
IN,India,Delhi,2020-03-21,-44.0,-24.0,-30.0,-40.0,-27.0,10.0
IN,India,Delhi,2020-03-22,-87.0,-83.0,-77.0,-81.0,-68.0,21.0
IN,India,Delhi,2020-03-23,-71.0,-52.0,-58.0,-74.0,-73.0,28.0
IN,India,Delhi,2020-03-24,-80.0,-66.0,-71.0,-82.0,-82.0,32.0
IN,India,Delhi,2020-03-25,-86.0,-76.0,-78.0,-87.0,-85.0,34.0
IN,India,Delhi,2020-03-26,-86.0,-76.0,-78.0,-87.0,-84.0,35.0
IN,India,Delhi,2020-03-27,-86.0,-77.0,-79.0,-87.0,-84.0,36.0
IN,India,Delhi,2020-03-28,-86.0,-77.0,-78.0,-85.0,-80.0,31.0
IN,India,Delhi,2020-03-29,-86.0,-77.0,-79.0,-84.0,-69.0,23.0
IN,India,Delhi,2020-03-30,-83.0,-73.0,-75.0,-86.0,-82.0,34.0
IN,India,Delhi,2020-03-31,-84.0,-74.0,-76.0,-86.0,-83.0,34.0
IN,India,Delhi,2020-04-01,-85.0,-76.0,-77.0,-87.0,-83.0,34.0
IN,India,Delhi,2020-04-02,-85.0,-76.0,-78.0,-88.0,-84.0,36.0
IN,India,Delhi,2020-04-03,-84.0,-73.0,-76.0,-87.0,-82.0,35.0
IN,India,Delhi,2020-04-04,-85.0,-75.0,-77.0,-86.0,-78.0,31.0
IN,India,Delhi,2020-04-05,-86.0,-77.0,-79.0,-86.0,-67.0,23.0
IN,India,Delhi,2020-04-06,-84.0,-73.0,-76.0,-87.0,-84.0,35.0
IN,India,Delhi,2020-04-07,-85.0,-68.0,-73.0,-84.0,-82.0,33.0
IN,India,Delhi,2020-04-08,-86.0,-67.0,-73.0,-84.0,-82.0,34.0
IN,India,Delhi,2020-04-09,-86.0,-67.0,-75.0,-85.0,-83.0,35.0
IN,India,Delhi,2020-04-10,-87.0,-69.0,-76.0,-86.0,-85.0,37.0
IN,India,Delhi,2020-04-11,-88.0,-72.0,-77.0,-85.0,-80.0,32.0
IN,India,Delhi,2020-04-12,-89.0,-74.0,-79.0,-84.0,-69.0,24.0
IN,India,Delhi,2020-04-13,-86.0,-69.0,-76.0,-85.0,-82.0,35.0
IN,India,Delhi,2020-04-14,-87.0,-71.0,-75.0,-85.0,-84.0,34.0
IN,India,Delhi,2020-04-15,-87.0,-68.0,-76.0,-84.0,-81.0,34.0
IN,India,Delhi,2020-04-16,-89.0,-66.0,-98.0,-83.0,-82.0,35.0
IN,India,Delhi,2020-04-17,-90.0,-66.0,-98.0,-83.0,-81.0,36.0
IN,India,Delhi,2020-04-18,-91.0,-71.0,-98.0,-83.0,-78.0,32.0
IN,India,Delhi,2020-04-19,-91.0,-71.0,-98.0,-82.0,-69.0,24.0
IN,India,Delhi,2020-04-20,-90.0,-66.0,-98.0,-83.0,-81.0,35.0
IN,India,Delhi,2020-04-21,-90.0,-68.0,-98.0,-84.0,-82.0,35.0
IN,India,Delhi,2020-04-22,-90.0,-67.0,-98.0,-84.0,-82.0,35.0
IN,India,Delhi,2020-04-23,-90.0,-67.0,-98.0,-84.0,-82.0,36.0
IN,India,Delhi,2020-04-24,-90.0,-66.0,-98.0,-84.0,-81.0,37.0
IN,India,Delhi,2020-04-25,-91.0,-69.0,-98.0,-83.0,-79.0,33.0
IN,India,Delhi,2020-04-26,-91.0,-70.0,-98.0,-82.0,-68.0,25.0
IN,India,Delhi,2020-04-27,-89.0,-65.0,-98.0,-83.0,-80.0,35.0
IN,India,Delhi,2020-04-28,-90.0,-66.0,-98.0,-83.0,-81.0,34.0
IN,India,Delhi,2020-04-29,-89.0,-65.0,-98.0,-82.0,-81.0,35.0
IN,India,Delhi,2020-04-30,-89.0,-66.0,-96.0,-82.0,-81.0,35.0
IN,India,Delhi,2020-05-01,-89.0,-64.0,-96.0,-82.0,-81.0,36.0
IN,India,Delhi,2020-05-02,-89.0,-66.0,-96.0,-81.0,-77.0,32.0
IN,India,Delhi,2020-05-03,-90.0,-68.0,-97.0,-80.0,-67.0,24.0
IN,India,Delhi,2020-05-04,-84.0,-54.0,-95.0,-77.0,-75.0,32.0
IN,India,Delhi,2020-05-05,-85.0,-55.0,-95.0,-77.0,-75.0,32.0
IN,India,Delhi,2020-05-06,-84.0,-52.0,-95.0,-76.0,-73.0,32.0
IN,India,Delhi,2020-05-07,-85.0,-57.0,-95.0,-78.0,-77.0,33.0
IN,India,Delhi,2020-05-08,-83.0,-52.0,-95.0,-76.0,-72.0,32.0
IN,India,Delhi,2020-05-09,-85.0,-57.0,-95.0,-75.0,-70.0,29.0
IN,India,Delhi,2020-05-10,-85.0,-58.0,-96.0,-74.0,-59.0,22.0
IN,India,Delhi,2020-05-11,-82.0,-51.0,-95.0,-75.0,-70.0,31.0
IN,India,Delhi,2020-05-12,-83.0,-53.0,-95.0,-75.0,-71.0,31.0
IN,India,Delhi,2020-05-13,-82.0,-50.0,-94.0,-73.0,-70.0,30.0
IN,India,Delhi,2020-05-14,-82.0,-54.0,-94.0,-74.0,-70.0,30.0
IN,India,Delhi,2020-05-15,-81.0,-48.0,-94.0,-73.0,-68.0,30.0
IN,India,Delhi,2020-05-16,-82.0,-52.0,-94.0,-72.0,-64.0,27.0
IN,India,Delhi,2020-05-17,-83.0,-55.0,-95.0,-71.0,-54.0,21.0
IN,India,Delhi,2020-05-18,-79.0,-46.0,-93.0,-71.0,-63.0,28.0
IN,India,Delhi,2020-05-19,-76.0,-41.0,-92.0,-67.0,-60.0,27.0
IN,India,Delhi,2020-05-20,-74.0,-36.0,-91.0,-65.0,-59.0,26.0
IN,India,Delhi,2020-05-21,-73.0,-37.0,-92.0,-65.0,-58.0,26.0
IN,India,Delhi,2020-05-22,-74.0,-37.0,-91.0,-65.0,-57.0,26.0
IN,India,Delhi,2020-05-23,-75.0,-40.0,-92.0,-65.0,-52.0,24.0
IN,India,Delhi,2020-05-24,-76.0,-41.0,-93.0,-64.0,-43.0,18.0
IN,India,Delhi,2020-05-25,-75.0,-41.0,-92.0,-69.0,-66.0,28.0
IN,India,Delhi,2020-05-26,-73.0,-37.0,-91.0,-63.0,-55.0,24.0
