date,tropospheric_NO2_column_number_density,airshed
2019-01-15,0.00010760803707179872,delhi
2019-01-30,0.00010136189026665238,delhi
2019-02-15,0.00010582228247104629,delhi
2019-03-02,5.794458289029266e-05,delhi
2019-03-15,5.797132790929793e-05,delhi
2019-03-30,5.99836725883572e-05,delhi
2019-04-15,8.001039528656469e-05,delhi
2019-04-30,6.92907884548726e-05,delhi
2019-05-15,7.895940081452716e-05,delhi
2019-05-30,6.936453413309876e-05,delhi
2019-06-15,7.541639797762446e-05,delhi
2019-06-30,6.448987301834609e-05,delhi
2019-07-15,4.8790835888900386e-05,delhi
2019-07-30,4.323985178914975e-05,delhi
2019-08-15,3.452586998222427e-05,delhi
2019-08-30,3.48594934960908e-05,delhi
2019-09-15,4.3130451907323034e-05,delhi
2019-09-30,4.0645831874267274e-05,delhi
2019-10-15,5.4200747353962424e-05,delhi
2019-10-30,6.400943670340441e-05,delhi
2019-11-15,5.567153497391051e-05,delhi
2019-11-30,6.997751830092326e-05,delhi
2019-12-15,9.65882556364205e-05,delhi
2019-12-30,0.00016325134931145847,delhi
2020-01-15,0.00010381518978459126,delhi
2020-01-30,8.740279211157252e-05,delhi
2020-02-15,8.699813468806482e-05,delhi
2020-03-01,7.28444358140005e-05,delhi
2020-03-15,6.023056098211845e-05,delhi
2020-03-30,4.0952113349338674e-05,delhi
2020-04-15,2.7621374131873867e-05,delhi
2020-04-30,4.640975333291495e-05,delhi
2020-05-15,4.838750148015329e-05,delhi
2020-05-30,6.397867019975224e-05,delhi
2020-06-15,5.074614196104479e-05,delhi
2020-06-30,5.1401328315583655e-05,delhi
2020-07-15,4.3894342988190065e-05,delhi
2020-07-30,3.0400430109029962e-05,delhi
2020-08-15,3.533924731740497e-05,delhi
2020-08-30,2.5483240033776238e-05,delhi
2020-09-15,3.823861808357172e-05,delhi
2020-09-30,4.6638414428586314e-05,delhi
2020-10-15,6.839293502305317e-05,delhi
2020-10-30,6.949488451513137e-05,delhi
2020-11-15,8.164149826322709e-05,delhi
2020-11-30,8.263838948260547e-05,delhi
2020-12-15,0.00010172302563187279,delhi
2020-12-30,9.882920239335949e-05,delhi
2021-01-15,8.40857172885696e-05,delhi
2021-01-30,0.0001176104100392812,delhi
2021-02-15,0.00013509985894014705,delhi
2021-03-02,0.00010405961133032821,delhi
2021-03-15,7.852799591866765e-05,delhi
2021-03-30,6.686797169525869e-05,delhi
2021-04-15,7.125446340840398e-05,delhi
2021-04-30,7.303972872017352e-05,delhi
2021-05-15,6.894030709062324e-05,delhi
2021-05-30,4.871297683315284e-05,delhi
2021-06-15,5.927153521343188e-05,delhi
2021-06-30,6.601829588926896e-05,delhi
2021-07-15,6.049530208124387e-05,delhi
2021-07-30,4.5212955986845126e-05,delhi
2021-08-15,3.80949552513529e-05,delhi
2021-08-30,3.9044415852425175e-05,delhi
2021-09-15,4.355865153243016e-05,delhi
2021-09-30,3.825280908542256e-05,delhi
2021-10-15,6.851254156827357e-05,delhi
2021-10-30,8.420851412155322e-05,delhi
2021-11-15,7.039830262396289e-05,delhi
2021-11-30,9.804426965923885e-05,delhi
2021-12-15,9.283549162652244e-05,delhi
2021-12-30,0.0001248072910871967,delhi
2022-01-15,0.00011835603393345945,delhi
2022-01-30,9.483886163823674e-05,delhi
2022-02-15,0.00010200072274058347,delhi
2022-03-02,9.445025370937631e-05,delhi
2022-03-15,7.461148601230662e-05,delhi
2022-03-30,6.65282803929547e-05,delhi
2022-04-15,8.876926301156414e-05,delhi
2022-04-30,8.073327252058147e-05,delhi
2022-05-15,7.879809209466458e-05,delhi
2022-05-30,7.161488730800311e-05,delhi
2022-06-15,6.898540248819684e-05,delhi
2022-06-30,6.4789856332578e-05,delhi
