date,retail_and_recreation_percent_change_from_baseline,ndti_change_from_baseline,ndvi_change_from_baseline,tmmx_change_from_baseline,Precipitation (mm/day)_change_from_baseline,aod_change_from_baseline,NO2_column_number_density_change_from_baseline,avg_rad_change_from_baseline
2017-01-01,,,,-10.628303430588986,-100.00000000000001,81.65302722621531,,-12.963841711235318
2017-01-02,,,,,-100.00000000000001,36.32444065967698,,
2017-01-03,,,,,-100.00000000000001,5.714516357719787,,
2017-01-04,,,,,-100.00000000000001,1.401848622556655,,
2017-01-05,,,,,-100.00000000000001,15.294247778755118,,
2017-01-06,,,,,-58.71602111882566,39.7585205557001,,
2017-01-07,,,,,-88.94629255034096,,,
2017-01-08,,,,,-100.00000000000001,87.94644929925293,,
2017-01-09,,,,,-100.00000000000001,17.398585020204095,,
2017-01-10,,,,,-100.00000000000001,-53.118012897770825,,
2017-01-11,,,,,-100.00000000000001,-9.346166303300022,,
2017-01-12,,,,,-100.00000000000001,22.73983504317607,,
2017-01-13,,,,,-100.00000000000001,-2.8916033958459395,,
2017-01-14,,,,,45.481418907873355,2.483404706099103,,
2017-01-15,,,,,-97.86727838980036,-21.790672076807255,,
2017-01-16,,,,,-100.00000000000001,110.35383364413119,,
2017-01-17,,,,,-100.00000000000001,51.32150775252688,,
2017-01-18,,,,,-100.00000000000001,-6.110924828248505,,
2017-01-19,,,,,-100.00000000000001,-42.46691598048486,,
2017-01-20,,35.3225193120657,9.505701032639376,,-99.12488995908608,-51.77640307705749,,
2017-01-21,,,,,-77.70238234717269,80.44239339072789,,
2017-01-22,,,,,-99.14490898239835,85.95964682853169,,
2017-01-23,,,,,-100.00000000000001,39.6799262647956,,
2017-01-24,,,,,-95.24523728080268,28.7850704414885,,
2017-01-25,,,,,337.3275748007229,,,
2017-01-26,,,,,5077.2790250427615,,,
2017-01-27,,,,,-75.49085281948938,,,
2017-01-28,,,,,-94.87720989830588,25.693570171263467,,
2017-01-29,,,,,-99.23229417342937,,,
2017-01-30,,-40.7551397830955,-44.87973375101891,,-100.00000000000001,59.02804301877631,,
2017-01-31,,,,,-100.00000000000001,35.89360842424946,,
2017-02-01,,,,6.5365974082417,-100.00000000000001,-39.587135252199474,,11.10584917083032
2017-02-02,,,,,-100.00000000000001,-33.65100384384736,,
2017-02-03,,,,,-91.08726072044213,-19.48615035798093,,
2017-02-04,,,,,-98.45578557496664,,,
2017-02-05,,,,,-99.8692653541034,,,
2017-02-06,,,,,-99.89352812163715,69.73588437913048,,
2017-02-07,,,,,-94.37014463769445,-59.66271712519431,,
2017-02-08,,,,,-99.9335338904131,-69.86926097095824,,
2017-02-09,,18.410120293356524,25.70045281337215,,-100.00000000000001,-6.368037861552646,,
2017-02-10,,,,,-100.00000000000001,-45.690242130712335,,
2017-02-11,,,,,-100.00000000000001,-66.15582082668776,,
2017-02-12,,,,,-100.00000000000001,50.41829290469667,,
2017-02-13,,,,,-100.00000000000001,-36.296660812051606,,
2017-02-14,,,,,-96.06570992715109,-32.99335814777598,,
2017-02-15,,,,,-84.64910744767656,-39.94086073387125,,
2017-02-16,,,,,-37.06040569338093,,,
2017-02-17,,,,,-10.45988320214878,-37.40239865255636,,
2017-02-18,,,,,-91.69984408685396,-58.507310526205,,
2017-02-19,,,,,-96.12107968648988,-43.92720658842253,,
2017-02-20,,,,,-100.00000000000001,-38.67063849310993,,
2017-02-21,,,,,-100.00000000000001,64.55074738988439,,
2017-02-22,,,,,-100.00000000000001,-41.8087938206263,,
2017-02-23,,,,,-100.00000000000001,-66.73819325118554,,
2017-02-24,,,,,-100.00000000000001,-78.53225878134685,,
2017-02-25,,,,,-100.00000000000001,-65.37790445135136,,
2017-02-26,,,,,-99.81702361408205,-58.71877141625593,,
2017-02-27,,,,,-99.81824408827457,-73.52776128341306,,
2017-02-28,,,,,-86.45799707265753,-26.85177325083984,,
2017-03-01,,16.797619124813693,42.46676530478369,29.291658714342297,-89.90346017030312,-27.723893278915323,,1.9758482661982995
2017-03-02,,,,,-99.09604356876952,24.457373847165012,,
2017-03-03,,,,,-89.04479064154165,-73.13966684957575,,
2017-03-04,,,,,-100.00000000000001,-76.40295252553227,,
2017-03-05,,,,,-100.00000000000001,-70.98857603661308,,
2017-03-06,,,,,-99.52392023133925,-55.46156103487351,,
2017-03-07,,,,,83.48925510727041,-43.20466371693034,,
2017-03-08,,,,,264.988148220644,-43.92005202279669,,
2017-03-09,,,,,-41.82422976971336,26.652416787365226,,
2017-03-10,,,,,566.1439395344721,4.833514518475246,,
2017-03-11,,,,,-21.267638701102165,-10.286849693939912,,
2017-03-12,,,,,-99.39603709097469,-30.17802017450945,,
2017-03-13,,,,,-100.00000000000001,-54.702934887747176,,
2017-03-14,,,,,-92.51682515929187,-29.462217086570003,,
2017-03-15,,,,,-76.88958834663977,-33.774525540373965,,
2017-03-16,,,,,-76.67319609628434,3.7227306344311724,,
2017-03-17,,,,,-96.40021588039981,-44.28956480309395,,
2017-03-18,,,,,-80.79543217870321,-41.29335507879639,,
2017-03-19,,,,,-96.83400199763878,39.97356990226691,,
2017-03-20,,,,,-99.31722736121961,-23.774602135727704,,
2017-03-21,,16.26568189292268,16.357254212142525,,-99.65338268858366,-41.09449111602757,,
2017-03-22,,,,,-97.96460337181675,-52.641607321237785,,
2017-03-23,,,,,-99.533824035792,-16.95588351278235,,
2017-03-24,,,,,-94.80561088588382,-5.254708289132146,,
2017-03-25,,,,,-98.02978072988512,-56.2172530901701,,
2017-03-26,,,,,-100.00000000000001,-77.03540503490406,,
2017-03-27,,,,,-100.00000000000001,-40.17895870114246,,
2017-03-28,,,,,-100.00000000000001,-29.82182250671331,,
2017-03-29,,,,,-100.00000000000001,-39.574355099995394,,
2017-03-30,,,,,-100.00000000000001,-55.819524096658895,,
2017-03-31,,,,,-100.00000000000001,,,
2017-04-01,,,,60.68275981560456,-98.08955876180136,-52.33927173978857,,-7.60906853448644
2017-04-02,,,,,-100.00000000000001,-76.38898188427598,,
2017-04-03,,,,,-98.81043746230672,-43.533423705433606,,
2017-04-04,,,,,778.2537978928739,,,
2017-04-05,,,,,-83.62145386062365,-15.936626564345419,,
2017-04-06,,,,,-100.00000000000001,-44.743736820477906,,
2017-04-07,,,,,-100.00000000000001,38.28820189886687,,
2017-04-08,,,,,-100.00000000000001,-39.835708905487266,,
2017-04-09,,,,,-100.00000000000001,-70.97114830511332,,
2017-04-10,,14.37320079882606,-18.940432207724513,,-100.00000000000001,-63.95717969081292,,
2017-04-11,,,,,-100.00000000000001,-50.47753830302079,,
2017-04-12,,,,,-100.00000000000001,-27.546038629534344,,
2017-04-13,,,,,-100.00000000000001,-43.22604385405968,,
2017-04-14,,,,,-100.00000000000001,-19.044108598574425,,
2017-04-15,,,,,-100.00000000000001,-23.294170188753032,,
2017-04-16,,,,,-100.00000000000001,-37.78287712868699,,
2017-04-17,,,,,-100.00000000000001,-23.301065147284415,,
2017-04-18,,,,,-100.00000000000001,-10.602168116061495,,
2017-04-19,,,,,-100.00000000000001,-38.12981230705298,,
2017-04-20,,,,,-100.00000000000001,-20.42609893429529,,
2017-04-21,,,,,-100.00000000000001,-4.18189754211009,,
2017-04-22,,,,,-0.2816631600939579,41.20508765499154,,
2017-04-23,,,,,-100.00000000000001,-19.62003212826251,,
2017-04-24,,,,,-100.00000000000001,2.374573736066473,,
2017-04-25,,,,,12.423851612286878,-16.4828092403154,,
2017-04-26,,,,,-63.574495885898415,-27.553760529330425,,
2017-04-27,,,,,143.88597950512784,-20.448680165987017,,
2017-04-28,,,,,-77.98927547702375,-2.5977243642810013,,
2017-04-29,,,,,-5.091563253653936,35.020131331754364,,
2017-04-30,,-59.71389473073,-44.48347640594726,,-5.605139850165097,-17.816796815867203,,
2017-05-01,,,,70.01272586425692,-100.00000000000001,-60.48077652867731,,-19.934787525359784
2017-05-02,,,,,-99.27677673805991,-9.016539611156846,,
2017-05-03,,,,,68.70638268476016,26.964241434061556,,
2017-05-04,,,,,-100.00000000000001,-21.453650333097954,,
2017-05-05,,,,,-100.00000000000001,0.4629012051732527,,
2017-05-06,,,,,-100.00000000000001,-6.3936597175841205,,
2017-05-07,,,,,-100.00000000000001,-17.970511962577636,,
2017-05-08,,,,,-89.24291933824739,27.819200630611,,
2017-05-09,,,,,-82.10436686056872,-36.4510257742694,,
2017-05-10,,,,,673.6995736084946,11.11609281668596,,
2017-05-11,,,,,-49.44973108804677,-2.257615927083491,,
2017-05-12,,,,,-98.81087240744921,40.89227734033845,,
2017-05-13,,,,,-100.00000000000001,-0.8498944376314076,,
2017-05-14,,,,,-100.00000000000001,-28.1032220230146,,
2017-05-15,,,,,-100.00000000000001,-48.05735716130408,,
2017-05-16,,,,,-28.5098249365306,-20.975726459035524,,
2017-05-17,,,,,-82.76541885672523,-12.931825552813997,,
2017-05-18,,,,,-99.4640672231651,-9.513180642047516,,
2017-05-19,,,,,23.833750137298566,-43.01885465759953,,
2017-05-20,,-35.88824048093284,-71.72834302494219,,-77.3689244046006,,,
2017-05-21,,,,,230.91082428485825,29.382141903166495,,
2017-05-22,,,,,79.63045494181819,,,
2017-05-23,,,,,-100.00000000000001,-12.302461531171126,,
2017-05-24,,,,,-95.33030716563772,-20.037537697468622,,
2017-05-25,,,,,-99.98557541651236,-63.04060930376375,,
2017-05-26,,,,,-100.00000000000001,-16.410637950859105,,
2017-05-27,,,,,-39.70532947344149,-16.47297189849089,,
2017-05-28,,,,,348.2297225087319,-4.689368068584166,,
2017-05-29,,,,,189.06568829398574,-6.244820375575816,,
2017-05-30,,,,,-100.00000000000001,22.497024412589713,,
2017-05-31,,,,,37.00018414760701,,,
2017-06-01,,,,62.37250575147255,-100.00000000000001,16.01266839154606,,-20.832071789176407
2017-06-02,,,,,-100.00000000000001,-19.72424756155273,,
2017-06-03,,,,,-100.00000000000001,-23.348433960870594,,
2017-06-04,,,,,-99.44616218858286,-28.10259230267258,,
2017-06-05,,,,,-98.66423303450274,20.524880597127666,,
2017-06-06,,,,,-99.82343611646503,26.76705666986813,,
2017-06-07,,,,,-97.05200768735608,-21.56402229290181,,
2017-06-08,,,,,-14.549852154263801,-37.8729504361466,,
2017-06-09,,,,,-99.80759065069081,76.80468347666078,,
2017-06-10,,,,,177.88827747500218,-9.574747039170056,,
2017-06-11,,,,,-99.12622244459759,-26.755278641638444,,
2017-06-12,,,,,-75.8445054721438,-28.337391513722068,,
2017-06-13,,,,,-100.00000000000001,-26.192993558234125,,
2017-06-14,,,,,134.09996896702506,13.729485200296093,,
2017-06-15,,,,,1596.0962638588383,0.4984200063192494,,
2017-06-16,,,,,1942.460660888324,27.05597127040954,,
2017-06-17,,,,,691.5707056666995,,,
2017-06-18,,,,,465.6242564501834,54.890011551044765,,
2017-06-19,,,,,1422.013859796927,55.279566257687556,,
2017-06-20,,,,,854.5302849392426,11.190468050578978,,
2017-06-21,,,,,91.12061534378984,,,
2017-06-22,,,,,-84.38818841326777,,,
2017-06-23,,,,,-99.34859467287035,13.402291774372209,,
2017-06-24,,,,,-99.58631339681428,-7.742283132051298,,
2017-06-25,,,,,-95.54302475088934,77.25407900790808,,
2017-06-26,,,,,-96.2993450598885,75.795967092808,,
2017-06-27,,,,,625.3578252323056,,,
2017-06-28,,,,,6296.870162117755,,,
2017-06-29,,,,,601.9772422257722,,,
2017-06-30,,,,,2629.915262098436,,,
2017-07-01,,,,49.85403110447705,1123.5230279075897,,,-26.42081268157412
2017-07-02,,,,,1477.917907405678,,,
2017-07-03,,,,,-77.0015523394518,,,
2017-07-04,,,,,-81.55719261585118,,,
2017-07-05,,,,,-6.102379078657571,,,
2017-07-06,,,,,174.72841178491655,,,
2017-07-07,,,,,-70.76276549299743,84.22565588395251,,
2017-07-08,,,,,-97.28186107563796,42.07488149743247,,
2017-07-09,,,,,106.77654610884188,-4.594078576177953,,
2017-07-10,,,,,-45.61284884390805,,,
2017-07-11,,,,,1791.914989281433,,,
2017-07-12,,,,,118.37053661522766,,,
2017-07-13,,,,,-82.58066078793298,,,
2017-07-14,,26.110954620287263,0.07794005044779832,,-97.77567666450886,,,
2017-07-15,,,,,80.98542918836597,,,
2017-07-16,,,,,420.4177450989452,,,
2017-07-17,,,,,2026.22293658859,,,
2017-07-18,,,,,-13.086567454100848,-60.46206180477181,,
2017-07-19,,20.754453046581748,17.68122866745983,,397.0437368060323,-8.015871469600901,,
2017-07-20,,,,,2698.379451729011,,,
2017-07-21,,,,,-96.95946896595764,-58.53258832972818,,
2017-07-22,,,,,535.268660197523,71.30770784782754,,
2017-07-23,,,,,262.813588201605,,,
2017-07-24,,,,,39.86173546263339,,,
2017-07-25,,,,,427.88460494024196,,,
2017-07-26,,,,,-49.607172944957064,,,
2017-07-27,,,,,-83.83177510525691,-29.320683667343708,,
2017-07-28,,,,,412.39235273121,-79.85073890026871,,
2017-07-29,,,,,-52.389151667515975,,,
2017-07-30,,,,,700.9341052780909,,,
2017-07-31,,,,,1543.8177466367215,,,
2017-08-01,,,,45.555295474213324,65.05571992509242,,,-20.471681547005886
2017-08-02,,,,,-19.896453013510275,,,
